block_number,transaction_index,log_index,address,block_hash,transaction_hash,contract_address,event_name,event_hash,arg__current,arg__roundId,arg__updatedAt
14763212,270,486,0x0ce3c18f9728b85742a527c1bd3493daa599c18e,0x5be3832ed7d8ac28c6be78a0575a36aa9be682c977a50776b7a90cb208751794,0xec2718ce0b3076d02f26088176fa7cd55392d77876978e1d22a8436bcd1f494c,0x0ce3c18f9728b85742a527c1bd3493daa599c18e,AnswerUpdated,0x0559884fd3a460db3073b7fc896cc77986f16e378210ded43186175bf646fc5f,14610000000000,16,1652387966
14763260,265,402,0x0ce3c18f9728b85742a527c1bd3493daa599c18e,0x73de8cad2ea3c2a62d88fbdcc14c83046b8a45a226aa8e4483cc202accf7d44e,0xb7d5ed3da8f43fac94d1d6a58e6a35bc2388c3436a366b5f0f8139a7f94b791e,0x0ce3c18f9728b85742a527c1bd3493daa599c18e,AnswerUpdated,0x0559884fd3a460db3073b7fc896cc77986f16e378210ded43186175bf646fc5f,14100000000000,17,1652388657
14763276,125,115,0x0ce3c18f9728b85742a527c1bd3493daa599c18e,0x395d25f82feae907a1f9d022b34ae4fbcff2f16a84250b8468246e5bee65d2a1,0x60617dc5f4b38aa2dd835e5554c1016889f5609890267eda78241cfc62671acb,0x0ce3c18f9728b85742a527c1bd3493daa599c18e,AnswerUpdated,0x0559884fd3a460db3073b7fc896cc77986f16e378210ded43186175bf646fc5f,13680000000000,18,1652388906
14763317,40,150,0x0ce3c18f9728b85742a527c1bd3493daa599c18e,0x434d2703d58bd4d9f7722924e8df2793d8384cd1eb2e72778840160d04808ef3,0xa5ae4d275e4ea7925aa84b2c576a90bae7ff4216a276678646077e21a8547ee3,0x0ce3c18f9728b85742a527c1bd3493daa599c18e,AnswerUpdated,0x0559884fd3a460db3073b7fc896cc77986f16e378210ded43186175bf646fc5f,13320000000000,19,1652389457
14763320,169,339,0x0ce3c18f9728b85742a527c1bd3493daa599c18e,0x4d48d0e68ec4a070111718d14f08427328299bdbcca91114e2d923f13bfc5e54,0x1be5dd6de9921722949fcd76e9dd82af4b2efb380c730dfd8bcdb51020fc77d7,0x0ce3c18f9728b85742a527c1bd3493daa599c18e,AnswerUpdated,0x0559884fd3a460db3073b7fc896cc77986f16e378210ded43186175bf646fc5f,12944228276978,20,1652389490
14763321,86,58,0x0ce3c18f9728b85742a527c1bd3493daa599c18e,0xaf72194d5ae330c947e81e1ef6062bb96d3b53d1f409d9f76f6159ccc720bfe8,0xd56e00e97ccaa4b046ed6308b83a4c1248baa6d2886851e2ac94c719ecbcc728,0x0ce3c18f9728b85742a527c1bd3493daa599c18e,AnswerUpdated,0x0559884fd3a460db3073b7fc896cc77986f16e378210ded43186175bf646fc5f,12404912000000,21,1652389537
14763329,52,139,0x0ce3c18f9728b85742a527c1bd3493daa599c18e,0x4abd97cf41276bced8d73a6acf33c875b1152b74b70a1d388767e8bbaaeae0b5,0x708502e39d798731631197c57a2c2398335c88e0053402f8709017571f8aa0fb,0x0ce3c18f9728b85742a527c1bd3493daa599c18e,AnswerUpdated,0x0559884fd3a460db3073b7fc896cc77986f16e378210ded43186175bf646fc5f,11832775000000,22,1652389603
14763336,234,260,0x0ce3c18f9728b85742a527c1bd3493daa599c18e,0x22e7352e734d070a2bbebd55e218a6c752328cd23b2e9217c7cd00fd02c77e5d,0x9e013b0f174ec2bb1eae9967e020996abbbbd03d2f541e2c710ddedfb1124c3a,0x0ce3c18f9728b85742a527c1bd3493daa599c18e,AnswerUpdated,0x0559884fd3a460db3073b7fc896cc77986f16e378210ded43186175bf646fc5f,11302213850844,23,1652389698
14763336,300,331,0x0ce3c18f9728b85742a527c1bd3493daa599c18e,0x22e7352e734d070a2bbebd55e218a6c752328cd23b2e9217c7cd00fd02c77e5d,0xd4d226b7ac0cf04f083de92362ac52305d36c663d754b933bc19bb904859d968,0x0ce3c18f9728b85742a527c1bd3493daa599c18e,AnswerUpdated,0x0559884fd3a460db3073b7fc896cc77986f16e378210ded43186175bf646fc5f,9346725620121,24,1652389698
14763336,410,426,0x0ce3c18f9728b85742a527c1bd3493daa599c18e,0x22e7352e734d070a2bbebd55e218a6c752328cd23b2e9217c7cd00fd02c77e5d,0x0a7ffe1db4ac6506dd26f2a83296ca1d32ee6e0bb7e45e8304f5f49e345f5227,0x0ce3c18f9728b85742a527c1bd3493daa599c18e,AnswerUpdated,0x0559884fd3a460db3073b7fc896cc77986f16e378210ded43186175bf646fc5f,8934241393738,25,1652389698
