block_number,transaction_index,log_index,address,block_hash,transaction_hash,contract_address,event_name,event_hash,arg__current,arg__roundId,arg__updatedAt
14721064,23,31,0x1a8ac67a1b64f7fd71bb91c21581f036abe6aec2,0xc66712513667503e85e377eb0ee823acc2d0213a2a65d5e92d9874bc3d7d57b0,0x2caddb79c3cf9d375cf40e22ab709576542b064ab4008d4280dddaa6a943741c,0x1a8ac67a1b64f7fd71bb91c21581f036abe6aec2,AnswerUpdated,0x0559884fd3a460db3073b7fc896cc77986f16e378210ded43186175bf646fc5f,29525410408662240,1293,1651806255
14726397,94,125,0x1a8ac67a1b64f7fd71bb91c21581f036abe6aec2,0xeae18414cd27f8a3ee58e07804d2fbc7c998635d10fccdbc89a064f8e6a39b1b,0xe227f918d4c70ae1065253e62ccb1b712f0e4c281957739b727507743c85d01d,0x1a8ac67a1b64f7fd71bb91c21581f036abe6aec2,AnswerUpdated,0x0559884fd3a460db3073b7fc896cc77986f16e378210ded43186175bf646fc5f,28909806872610724,1294,1651879141
14727610,44,36,0x1a8ac67a1b64f7fd71bb91c21581f036abe6aec2,0xcc779d093bf4a908a5ec7f00af26de51a0db8168696e0be68898c0a088d9547a,0x5b09ad9ee5fd974d046c845eb6d30c85534288e960815bad4c9f6ffd30cdc0ea,0x1a8ac67a1b64f7fd71bb91c21581f036abe6aec2,AnswerUpdated,0x0559884fd3a460db3073b7fc896cc77986f16e378210ded43186175bf646fc5f,28312498091524703,1295,1651896119
14727696,36,45,0x1a8ac67a1b64f7fd71bb91c21581f036abe6aec2,0x39d047dfc5889536772b903a9bf93c0472bd0e2e00b92f15e8f89dcc314a7785,0x8ba10d0269c30f34c5ef0364a8141a732a1e14610d37f7ce5ac2ce7889876fd9,0x1a8ac67a1b64f7fd71bb91c21581f036abe6aec2,AnswerUpdated,0x0559884fd3a460db3073b7fc896cc77986f16e378210ded43186175bf646fc5f,27695020000000000,1296,1651897383
14731234,74,156,0x1a8ac67a1b64f7fd71bb91c21581f036abe6aec2,0xb5369a9635b29294c189a6db2683dfebe4d1b84f939413cdfb303aaa10630e75,0x879d12a6f7edf0a8ad11e391e95ebaa050f4d26cdd7e75a4a3dcd2fd773d7648,0x1a8ac67a1b64f7fd71bb91c21581f036abe6aec2,AnswerUpdated,0x0559884fd3a460db3073b7fc896cc77986f16e378210ded43186175bf646fc5f,27138650461100180,1297,1651945957
14731960,41,74,0x1a8ac67a1b64f7fd71bb91c21581f036abe6aec2,0xa7274373f142ae12afbf33d52e05a745ac973ccc129f3a34c6b7035db97be746,0xed106d7a134bfcd15aa1db296235c752645230c181e2b0edb30978b1b2255bef,0x1a8ac67a1b64f7fd71bb91c21581f036abe6aec2,AnswerUpdated,0x0559884fd3a460db3073b7fc896cc77986f16e378210ded43186175bf646fc5f,26593895441206710,1298,1651956069
14732260,28,41,0x1a8ac67a1b64f7fd71bb91c21581f036abe6aec2,0x17bfb4c7ebd3a003928831c68c8055b647a72ceefdc2ae50d2015a5dae846af5,0x9c12a8e995804ed537ce5507d4ffe30596b99e922a0ff2edf869650f9d23f2d8,0x1a8ac67a1b64f7fd71bb91c21581f036abe6aec2,AnswerUpdated,0x0559884fd3a460db3073b7fc896cc77986f16e378210ded43186175bf646fc5f,26015649678554900,1299,1651960207
14732324,32,73,0x1a8ac67a1b64f7fd71bb91c21581f036abe6aec2,0x59fb4b40e87e4f6baecf70e0d1f53b567cfd5cc2264852f5aeed88fe35133006,0x78a150c287daabdac88be0c3df7ffba4ec5411f413307a5761c368fcaafce014,0x1a8ac67a1b64f7fd71bb91c21581f036abe6aec2,AnswerUpdated,0x0559884fd3a460db3073b7fc896cc77986f16e378210ded43186175bf646fc5f,25484050000000000,1300,1651960972
14732549,172,362,0x1a8ac67a1b64f7fd71bb91c21581f036abe6aec2,0x39e5be8bce10c353da7816a33e71684211b35c124757320853b9af31a76f6824,0x9aa18c02c61b57fe9aff58c3f2cc058f6e3ec5f3e91423c8db5c5aaae072633c,0x1a8ac67a1b64f7fd71bb91c21581f036abe6aec2,AnswerUpdated,0x0559884fd3a460db3073b7fc896cc77986f16e378210ded43186175bf646fc5f,24966033223199176,1301,1651963974
14732613,13,77,0x1a8ac67a1b64f7fd71bb91c21581f036abe6aec2,0xd5bb578fd5fca2308ef66007246a069cf882fc37cf89278b8f3002df866a2aa0,0xd947aff469a1cf107a92dfff4d8f85a69b9872a4c95e5a51d9eaf75abe9a8f2a,0x1a8ac67a1b64f7fd71bb91c21581f036abe6aec2,AnswerUpdated,0x0559884fd3a460db3073b7fc896cc77986f16e378210ded43186175bf646fc5f,25514088776657007,1302,1651964779
14732653,72,101,0x1a8ac67a1b64f7fd71bb91c21581f036abe6aec2,0x6a6250d164f3ea33cfd9c27fa83ab1aa6dbb884d0e513646de5b5f59f592db49,0xa7482fc2e8b485c540af7cb404976fd9221486e4e85c9c896f50d6c58457b171,0x1a8ac67a1b64f7fd71bb91c21581f036abe6aec2,AnswerUpdated,0x0559884fd3a460db3073b7fc896cc77986f16e378210ded43186175bf646fc5f,26080915291575510,1303,1651965491
14733032,101,151,0x1a8ac67a1b64f7fd71bb91c21581f036abe6aec2,0x35535118075664de9cf8ed0ac9182dd956bf7f8126a07775b27c7e505fdc33dd,0x69b72a09ca2058ba48e8f96b3295c3bb00fa9d7996e01b99063328fb9aff6afd,0x1a8ac67a1b64f7fd71bb91c21581f036abe6aec2,AnswerUpdated,0x0559884fd3a460db3073b7fc896cc77986f16e378210ded43186175bf646fc5f,25550304459867872,1304,1651970774
14733148,34,38,0x1a8ac67a1b64f7fd71bb91c21581f036abe6aec2,0xbaf402978e91e3ab4eb082dbdce2e5c81ac8fc31140788fba86c137abce66120,0x60fd2260d588451bc3d5eb242f6f6043a2290bbfe89c14c944cc69d1a6c99aa2,0x1a8ac67a1b64f7fd71bb91c21581f036abe6aec2,AnswerUpdated,0x0559884fd3a460db3073b7fc896cc77986f16e378210ded43186175bf646fc5f,25036370000000000,1305,1651972515
14733271,156,225,0x1a8ac67a1b64f7fd71bb91c21581f036abe6aec2,0x3781a523e48104291ccb44a89f3c03d65e3b968af7a37bb39ea686c3d8276e84,0xaaf0b1c13947e35643e9902b6e9d82dd483b8340d9a56e3fc33a4b9537ac0c27,0x1a8ac67a1b64f7fd71bb91c21581f036abe6aec2,AnswerUpdated,0x0559884fd3a460db3073b7fc896cc77986f16e378210ded43186175bf646fc5f,24531935853834685,1306,1651974386
14733569,124,393,0x1a8ac67a1b64f7fd71bb91c21581f036abe6aec2,0xea2c544170e6b44d12fedd0fd1bbccfe3cb96a107f1080bbacb89e04a9f955d4,0x2029fa6c7e85ab12a73eb84337e97851e45f714e10dc49d2c505e516bdf96f0a,0x1a8ac67a1b64f7fd71bb91c21581f036abe6aec2,AnswerUpdated,0x0559884fd3a460db3073b7fc896cc77986f16e378210ded43186175bf646fc5f,25028460000000000,1307,1651978208
14733692,254,406,0x1a8ac67a1b64f7fd71bb91c21581f036abe6aec2,0x1ee21170802faa0cad5396d3f47366c12ac1838654c7455b26923043ab873afd,0x9099fa159dd03bdbd0e2048f7fdbb2eff6ee42f4ad3101aba2cbb3cb11664b7b,0x1a8ac67a1b64f7fd71bb91c21581f036abe6aec2,AnswerUpdated,0x0559884fd3a460db3073b7fc896cc77986f16e378210ded43186175bf646fc5f,25548212000000000,1308,1651979872
14735019,366,487,0x1a8ac67a1b64f7fd71bb91c21581f036abe6aec2,0x9ec7a7c69823a7e7111365046ba17b7db79b7997512bdb5c21f85afee5128d64,0x76e2d617c5a80ac798a94e1e9ee19dfe9f4ba86fdb9eb9a84de0ee30d8fc868b,0x1a8ac67a1b64f7fd71bb91c21581f036abe6aec2,AnswerUpdated,0x0559884fd3a460db3073b7fc896cc77986f16e378210ded43186175bf646fc5f,25031620000000000,1309,1651998627
14736037,326,316,0x1a8ac67a1b64f7fd71bb91c21581f036abe6aec2,0x31c12c14ea1d89e680b499c5fb933bb2c5139ccdbd16b4cb03b0b164993ccee1,0x7b2cd93e5e3e8aeb05a145a59fd862cb25385d459ce9fe2c1bbdbecd7c9553da,0x1a8ac67a1b64f7fd71bb91c21581f036abe6aec2,AnswerUpdated,0x0559884fd3a460db3073b7fc896cc77986f16e378210ded43186175bf646fc5f,24530543000000000,1310,1652012369
14736138,41,41,0x1a8ac67a1b64f7fd71bb91c21581f036abe6aec2,0xc4078ebfed4c5ec20e453b5bbcc8325272572d400c5ab2d17c5ebac76755fe1c,0xc50a12357b2bd98c6b6d7714486846b13de00beaa24bdedede0cb689dffee048,0x1a8ac67a1b64f7fd71bb91c21581f036abe6aec2,AnswerUpdated,0x0559884fd3a460db3073b7fc896cc77986f16e378210ded43186175bf646fc5f,24033095522257320,1311,1652013679
14736308,231,225,0x1a8ac67a1b64f7fd71bb91c21581f036abe6aec2,0x6b949a4fe99fdfcdabb9e9e13772a1c343ebab13eda6caf0323045eb68fd1169,0x391e3c397e4e6161b1a1f26757a0655b4ab5b75bd2865624ba0281d09b4c5988,0x1a8ac67a1b64f7fd71bb91c21581f036abe6aec2,AnswerUpdated,0x0559884fd3a460db3073b7fc896cc77986f16e378210ded43186175bf646fc5f,23480686946880770,1312,1652015807
14736368,197,275,0x1a8ac67a1b64f7fd71bb91c21581f036abe6aec2,0xd2b47be85345a5d3c8176a7b9ebe15861b3aa219a3862584d6fddd50dac0c7e4,0xdf449e2b77e10db3016ff32e8ebab2c31b5ad4b2286d18e626d5060b16c5bd20,0x1a8ac67a1b64f7fd71bb91c21581f036abe6aec2,AnswerUpdated,0x0559884fd3a460db3073b7fc896cc77986f16e378210ded43186175bf646fc5f,24027971808435490,1313,1652016543
14736553,302,426,0x1a8ac67a1b64f7fd71bb91c21581f036abe6aec2,0x232205728aeeceb9b856688333ea796e07883e31ee124a9631d8ba36d365af72,0x86b66686adeb8c9f99861245f9f712cbc54c45a7d0270b72f71a7a1b7cae5a92,0x1a8ac67a1b64f7fd71bb91c21581f036abe6aec2,AnswerUpdated,0x0559884fd3a460db3073b7fc896cc77986f16e378210ded43186175bf646fc5f,24568780557645484,1314,1652019123
