block_number,transaction_index,log_index,address,block_hash,transaction_hash,contract_address,event_name,event_hash,arg__current,arg__roundId,arg__updatedAt
16532016,81,151,0x37bc7498f4ff12c19678ee8fe19d713b87f6a9e6,0xdb894c2d0c9c6d9ac1ab1006ce81d1a645c7a561e11fd8f0e377676e18c4afb0,0x49546cca79e327a1fb9e7612e46458da7d1673fc8805a494b98c1da15717b7c8,0x37bc7498f4ff12c19678ee8fe19d713b87f6a9e6,AnswerUpdated,0x0559884fd3a460db3073b7fc896cc77986f16e378210ded43186175bf646fc5f,158278023000,40722,1675230947
16532316,100,313,0x37bc7498f4ff12c19678ee8fe19d713b87f6a9e6,0xaac6e24da68b58542bbb5feead421443af50151d8de4d15104a3d8b165abb7c1,0xcc4fca661af3b0bf63325fde77f8a2ba480e2e3aa213a3620221e00e3e4902ef,0x37bc7498f4ff12c19678ee8fe19d713b87f6a9e6,AnswerUpdated,0x0559884fd3a460db3073b7fc896cc77986f16e378210ded43186175bf646fc5f,157765145000,40723,1675234547
16532615,120,242,0x37bc7498f4ff12c19678ee8fe19d713b87f6a9e6,0x1ed3c9ce3c9b35cf409cb7bd3a6978c8c5f5014c543e21cea110a48ef23851f2,0x3bc8c2b415096f3b8766dbeb9b322a739e98b4aac77495a0b024621115714e8e,0x37bc7498f4ff12c19678ee8fe19d713b87f6a9e6,AnswerUpdated,0x0559884fd3a460db3073b7fc896cc77986f16e378210ded43186175bf646fc5f,157697342000,40724,1675238159
16532639,60,134,0x37bc7498f4ff12c19678ee8fe19d713b87f6a9e6,0x55be6e300d2b712951619e428da4f669db1e60ee8fee7f91118f7fd82dd024bd,0x73f0cbe536b110d54cb392cdba17c257fa97e1d67312c46aa16feb8a82112677,0x37bc7498f4ff12c19678ee8fe19d713b87f6a9e6,AnswerUpdated,0x0559884fd3a460db3073b7fc896cc77986f16e378210ded43186175bf646fc5f,157314324000,40725,1675238447
16532910,112,257,0x37bc7498f4ff12c19678ee8fe19d713b87f6a9e6,0x20eebdb4b5131ccc748099cb257a39b0ca63636408a6340ee7b2d0a3816ff479,0xda985107ec73169df9d8346537cc2ace3e059e7bcf048cc12dd9659a5444dd54,0x37bc7498f4ff12c19678ee8fe19d713b87f6a9e6,AnswerUpdated,0x0559884fd3a460db3073b7fc896cc77986f16e378210ded43186175bf646fc5f,157112130000,40726,1675241735
16533207,39,64,0x37bc7498f4ff12c19678ee8fe19d713b87f6a9e6,0xde5571c47c221371712e2d18083436cde7d4a83b7d5d653bef40edda701eead7,0x964782e0763f2497a2e315ff145371a35952a1348e4640d24eda0076ca38d26e,0x37bc7498f4ff12c19678ee8fe19d713b87f6a9e6,AnswerUpdated,0x0559884fd3a460db3073b7fc896cc77986f16e378210ded43186175bf646fc5f,157275617049,40727,1675245323
16533505,74,142,0x37bc7498f4ff12c19678ee8fe19d713b87f6a9e6,0xd68ab26cfb81f595a87b92704a5a953c188236b7aac0b7b60f56b2788c5c9479,0x1de3e6c54980f6146276d49213a657972b9c3a18d56fb66fe8d2c8492d270a91,0x37bc7498f4ff12c19678ee8fe19d713b87f6a9e6,AnswerUpdated,0x0559884fd3a460db3073b7fc896cc77986f16e378210ded43186175bf646fc5f,157560500000,40728,1675248923
16533804,4,19,0x37bc7498f4ff12c19678ee8fe19d713b87f6a9e6,0x505f649b21bdd7deb1dbd235e20466e619263b23d53b3f7df99d576261af859c,0x394265c948f2ebbb98c494c5ec1a7cbcca5c1198ecad8ae54c77e5506bb66738,0x37bc7498f4ff12c19678ee8fe19d713b87f6a9e6,AnswerUpdated,0x0559884fd3a460db3073b7fc896cc77986f16e378210ded43186175bf646fc5f,158030743720,40729,1675252535
16534101,122,260,0x37bc7498f4ff12c19678ee8fe19d713b87f6a9e6,0x55579046f52fae1706ef5a32d666704d696e20065564ba27458e47d22b7929be,0xb446806a7b931da5099b9d069aa513db0a8b284072e392fc8d52d20bf9956def,0x37bc7498f4ff12c19678ee8fe19d713b87f6a9e6,AnswerUpdated,0x0559884fd3a460db3073b7fc896cc77986f16e378210ded43186175bf646fc5f,158013185000,40730,1675256135
16534399,87,265,0x37bc7498f4ff12c19678ee8fe19d713b87f6a9e6,0xd131294abbf19158e28b23df0b86fe3b6d578e551566ceb3e110fcabf78d5591,0xf2b824ea939bc44721a02617cfbb46b268ed1652ce6a3c8d39728987b570f932,0x37bc7498f4ff12c19678ee8fe19d713b87f6a9e6,AnswerUpdated,0x0559884fd3a460db3073b7fc896cc77986f16e378210ded43186175bf646fc5f,158185663000,40731,1675259747
